"projectid","customerid","description"
"PID_240726_003","CUST003","Direct Insert Test"
"PRJ169481","DEFAULT_CUSTOMER","智能差旅管理系统开发"
"PRJ219256","DEFAULT_CUSTOMER","销售项目费用报销"
"PRJ265057","DEFAULT_CUSTOMER","销售项目费用报销"
"PRJ280130","DEFAULT_CUSTOMER","销售项目费用报销"
"PRJ280836","DEFAULT_CUSTOMER","智能差旅管理系统开发"
"PRJ399683","DEFAULT_CUSTOMER","销售项目费用报销"
"PRJ400380","DEFAULT_CUSTOMER","智能差旅管理系统开发"
"PRJ543250","DEFAULT_CUSTOMER","销售项目费用报销"
"PRJ563722","DEFAULT_CUSTOMER","销售项目费用报销"
"PRJ603492","DEFAULT_CUSTOMER","出租车费用项目"
"PRJ617960","DEFAULT_CUSTOMER","销售项目费用报销"
"PROJ001","CUST001","API Test Run"
"PROJ002","CUST002","ORBIS SE OTTO Project"
"PROJ003","CUST001","深圳研发中心建设"
"PROJ004","CUST003","微信小程序开发项目"
"PROJ005","CUST004","5G基站建设项目"
"PROJ006","CUST005","抖音广告投放系统"
"PROJ007","CUST006","外卖配送优化项目"
"PROJ008","CUST003","腾讯云服务器迁移"
"PROJ009","CUST004","华为手机UI设计"
"PROJ010","CUST005","今日头条推荐算法"
"PROJ011","CUST006","美团商家管理系统"
"PROJ012","CUST003","QQ音乐版权采购"
"PROJ013","CUST004","荣耀品牌独立运营"
"PROJ014","CUST005","火山小视频内容审核"
"PROJ015","CUST006","美团优选供应链管理"
"PROJ_1758967060","CUST001","Project via action"
"PROJ_1758967705","CUST001","Project via action"
"TEST_SUCCESS_002","DEFAULT_CUSTOMER","测试项目创建成功"